Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
1	063633h	50189424N	0	189424N	50.189424N	19806631E	0	806631E	19.806631E	459m	459	1508ft	4	3152	mV	14.3	C	95193	Pa	13.17	C	62.42	%	12.71	C	63.67	%																																																																																																																																																																																																																																				
2	063726h	50189469N	0	0	0	19806610E	0	0	0	444m	444	1459ft	4	3113	mV	14.64	C	97410	Pa	13.75	C	60.54	%	12.67	C	62.45	%																																																																																																																																																																																																																																				
3	063759h	50189019N	0	0	0	19806934E	0	0	0	410m	410	1346ft	4	3086	mV	14.88	C	97478	Pa	14.0	C	59.78	%	12.72	C	61.89	%																																																																																																																																																																																																																																				
4	063832h	50189195N	0	0	0	19806638E	0	0	0	467m	467	1533ft	4	3061	mV	15.6	C	97478	Pa	14.17	C	59.4	%	12.68	C	63.5	%																																																																																																																																																																																																																																				
5	063939h	50189224N	0	0	0	19806690E	0	0	0	445m	445	1460ft	4	3013	mV	15.28	C	97468	Pa	14.41	C	58.3	%	12.77	C	64.35	%																																																																																																																																																																																																																																				
6	063956h	50189293N	0	0	0	19806786E	0	0	0	440m	440	1444ft	4	3003	mV	15.36	C	97493	Pa	14.45	C	57.89	%	12.81	C	64.12	%																																																																																																																																																																																																																																				
7	063958h	50189306N	0	0	0	19806758E	0	0	0	437m	437	1436ft	4	3008	mV	15.36	C	97511	Pa	14.47	C	57.92	%	12.85	C	64.4	%																																																																																																																																																																																																																																				
8	063959h	50189319N	0	0	0	19806746E	0	0	0	437m	437	1435ft	4	3005	mV	15.38	C	97506	Pa	14.45	C	57.91	%	12.88	C	63.99	%																																																																																																																																																																																																																																				
9	064000h	50189332N	0	0	0	19806734E	0	0	0	436m	436	1431ft	4	3005	mV	15.38	C	97503	Pa	14.47	C	57.89	%	12.89	C	63.96	%																																																																																																																																																																																																																																				
10	064001h	50189339N	0	0	0	19806729E	0	0	0	436m	436	1431ft	4	3002	mV	15.35	C	97511	Pa	14.45	C	57.87	%	12.88	C	63.9	%																																																																																																																																																																																																																																				
11	064002h	50189347N	0	0	0	19806729E	0	0	0	435m	435	1430ft	4	3010	mV	15.36	C	97503	Pa	14.42	C	57.86	%	12.89	C	63.85	%																																																																																																																																																																																																																																				
12	064003h	50189348N	0	0	0	19806731E	0	0	0	435m	435	1429ft	4	3008	mV	15.38	C	97504	Pa	14.47	C	57.91	%	12.89	C	63.75	%																																																																																																																																																																																																																																				
13	064004h	50189355N	0	0	0	19806735E	0	0	0	435m	435	1428ft	4	3002	mV	15.39	C	97515	Pa	14.48	C	57.83	%	12.89	C	63.9	%																																																																																																																																																																																																																																				
14	064005h	50189383N	0	0	0	19806745E	0	0	0	434m	434	1425ft	4	2999	mV	15.39	C	97506	Pa	14.47	C	57.83	%	12.92	C	64.71	%																																																																																																																																																																																																																																				
15	064006h	50189391N	0	0	0	19806742E	0	0	0	433m	433	1423ft	4	3000	mV	15.39	C	97513	Pa	14.49	C	57.87	%	12.89	C	65.7	%																																																																																																																																																																																																																																				
16	064007h	50189396N	0	0	0	19806737E	0	0	0	434m	434	1423ft	4	3005	mV	15.39	C	97507	Pa	14.48	C	57.85	%	12.91	C	66.32	%																																																																																																																																																																																																																																				
17	064008h	50189384N	0	0	0	19806753E	0	0	0	431m	431	1414ft	4	3005	mV	15.39	C	97508	Pa	14.49	C	57.8	%	12.89	C	66.55	%																																																																																																																																																																																																																																				
18	064009h	50189388N	0	0	0	19806754E	0	0	0	430m	430	1413ft	4	3000	mV	15.39	C	97504	Pa	14.48	C	57.83	%	12.94	C	66.52	%																																																																																																																																																																																																																																				
